CustomerID,Age,Annual_Income,Spending_Score
1,56,28392,19
2,46,50535,20
3,32,98603,96
4,25,72256,71
5,38,55222,52
6,56,97373,33
7,36,99575,40
8,40,83335,39
9,28,30965,82
10,28,44538,1
11,41,90592,11
12,53,28110,92
13,57,99309,57
14,41,47266,89
15,20,72992,50
16,39,26910,23
17,19,20206,31
18,41,43419,94
19,47,70636,42
20,55,70015,99
21,19,74268,7
22,38,38141,16
23,50,91910,90
24,29,76044,60
25,39,87214,2
26,42,53827,1
27,44,75820,48
28,59,82623,12
29,45,95450,69
30,33,42299,37
31,32,63585,32
32,20,84044,9
33,54,62557,99
34,24,69080,19
35,38,22693,48
36,26,89163,80
37,56,45939,3
38,35,68925,20
39,21,62941,24
40,42,41834,54
41,31,38047,33
42,26,46105,24
43,43,95766,75
44,19,35707,72
45,37,41976,36
46,45,64262,38
47,24,43776,84
48,25,50080,99
49,52,86842,89
50,31,81373,99
51,34,26776,25
52,53,75016,93
53,57,29474,18
54,21,78053,82
55,19,41959,66
56,23,25530,54
57,59,23748,35
58,21,33545,80
59,46,86199,61
60,35,54766,41
61,43,93530,33
62,51,81087,68
63,27,88840,33
64,53,74384,14
65,31,71005,21
66,48,66576,48
67,32,59353,20
68,25,82003,8
69,31,72733,7
70,40,85318,67
71,57,43664,17
72,38,87172,33
73,33,46736,48
74,35,20854,76
75,41,58623,59
76,43,27392,86
77,42,75680,22
78,58,66717,30
79,46,70859,38
80,32,46309,51
81,18,83734,54
82,42,90467,8
83,24,72662,27
84,26,32688,27
85,41,45342,98
86,18,57157,21
87,25,87863,30
88,41,72083,97
89,28,85733,28
90,34,54698,64
91,25,42671,97
92,52,45184,69
93,52,62107,61
94,50,71663,48
95,22,35708,19
96,59,69811,4
97,56,22811,35
98,58,76250,64
99,45,92082,49
100,24,54754,17
